,Gene.title,P.Value
35824,family with sequence similarity 102 member B,5.7e-07
35825,chromosome transmission fidelity factor 18,0.000152
35826,ATPase Na+/K+ transporting subunit beta 3,0.136
35827,"protein tyrosine phosphatase, receptor type S",0.000112
35828,suppressor of cytokine signaling 7,0.521
35829,DIRAS family GTPase 1,0.475
35830,paraspeckle component 1,0.000219
35831,zinc finger protein 462,0.295
35832,Rho GTPase activating protein 26,0.00455
35833,presenilin 1,0.000307
35834,dual specificity phosphatase 1,0.013
35835,,0.113
35836,breast cancer metastasis-suppressor 1-like,0.284
35837,"rabenosyn, RAB effector",0.227
35838,uncharacterized LOC400043,0.0554
35839,chromosome 12 open reading frame 76,0.136
35840,family with sequence similarity 110 member A,0.769
35841,nei like DNA glycosylase 2,0.818
35842,ankyrin repeat and sterile alpha motif domain containing 6,0.081
35843,Prader Willi/Angelman region RNA 6,0.339
35844,"CWC22 homolog, spliceosome-associated protein",0.196
35845,transmembrane protein 192,4.61e-10
35846,zinc finger protein 618,0.438
35847,Prader Willi/Angelman region RNA 6,0.964
35848,zinc finger protein 618,0.956
35849,ectonucleoside triphosphate diphosphohydrolase 5,0.129
35850,sorting nexin family member 21,0.104
35851,UBAP1-MVB12-associated (UMA) domain containing 1,0.00457
35852,receptor accessory protein 6,0.763
35853,mitochondrial ribosome associated GTPase 2,0.266
35854,FH2 domain containing 1,0.299
35855,transmembrane and tetratricopeptide repeat containing 3,0.000164
35856,solute carrier family 30 member 7,7.58e-06
35857,"BCR, RhoGEF and GTPase activating protein",0.019
35858,sterile alpha motif domain containing 9 like,0.761
35859,transmembrane and tetratricopeptide repeat containing 3,0.000647
35860,diacylglycerol kinase theta,0.0781
35861,mitochondrial ribosome associated GTPase 2,0.435
35862,chromosome 20 open reading frame 194,0.00174
35863,chromosome 16 open reading frame 87,0.00341
35864,"discoidin, CUB and LCCL domain containing 1",0.735
35865,centromere protein V,0.1
35866,centromere protein V,0.0774
35867,ubiquitin conjugating enzyme E2 Q family like 1,0.00797
35868,GATS protein like 3,0.237
35869,family with sequence similarity 167 member A,0.69
35870,xenotropic and polytropic retrovirus receptor 1,0.0024
35871,NADH:ubiquinone oxidoreductase subunit V3,0.27
35872,uncharacterized LOC101929356///ADP ribosylation factor like GTPase 5A,0.456
35873,ubiquitin conjugating enzyme E2 Q family like 1,0.947
35874,SUMO1/sentrin specific peptidase 1,0.214
35875,DAZ associated protein 1,0.111
35876,oncostatin M receptor,0.362
35877,"mucin 20, cell surface associated",0.719
35878,phytanoyl-CoA 2-hydroxylase interacting protein like,0.112
35879,RAD54-like 2 (S. cerevisiae),0.48
35880,transforming growth factor beta receptor 3,0.265
35881,THO complex 2,0.0698
35882,septin 8,0.00845
35883,THO complex 2,0.01
35884,solute carrier family 43 member 2,0.000104
35885,MIS18 binding protein 1,0.00119
35886,methyltransferase like 10,0.00352
35887,cytoglobin,0.564
35888,"RAB8B, member RAS oncogene family",8.14e-06
35889,methyltransferase like 10,0.109
35890,"endogenous Bornavirus-like nucleoprotein 3, pseudogene",0.000639
35891,phospholipase D1,0.14
35892,ubiquitin conjugating enzyme E2 H,0.00463
35893,Rho GTPase activating protein 23,0.335
35894,SFT2 domain containing 3,0.00879
35895,diacylglycerol lipase beta,7.43e-07
35896,ankyrin repeat domain 44,0.161
35897,NudC domain containing 2,0.809
35898,NudC domain containing 2,0.0335
35899,mindbomb E3 ubiquitin protein ligase 2,0.954
35900,,0.468
35901,Kruppel like factor 2,0.0862
35902,transmembrane protein 25,0.37
35903,hypoxia inducible factor 1 alpha subunit inhibitor,0.000699
35904,pantothenate kinase 1,0.311
35905,zinc finger AN1-type containing 2A,0.168
35906,homer scaffolding protein 1,0.32
35907,ubiquitin specific peptidase 3,0.0107
35908,microtubule affinity regulating kinase 1,0.447
35909,"mucin 12, cell surface associated",0.436
35910,syntaxin 17,0.104
35911,cartilage associated protein,0.000866
35912,N-acetyltransferase domain containing 1,0.39
35913,podoplanin,0.465
35914,"DEF6, guanine nucleotide exchange factor",0.0819
35915,ribosomal protein S6 kinase B1,0.81
35916,cell division cycle associated 2,0.632
35917,syntaxin 17,0.00621
35918,ANKRD10 intronic transcript 1,1.81e-05
35919,TBC1 domain family member 20,8.54e-05
35920,"AHA1, activator of heat shock 90kDa protein ATPase homolog 2 (yeast)",0.0174
35921,dishevelled associated activator of morphogenesis 1,0.0666
35922,epsin 1,0.0214
35923,"WD repeat, sterile alpha motif and U-box domain containing 1",0.85
35924,ubiquitin specific peptidase 42,0.00139
35925,poly(A) binding protein cytoplasmic 1 like,3.93e-05
35926,lysosomal associated membrane protein 2,8.71e-05
35927,histone deacetylase 10,0.413
35928,SH2 domain containing 3C,0.32
35929,shisa family member 4,0.0873
35930,metastasis associated lung adenocarcinoma transcript 1 (non-protein coding),7.7e-08
35931,zinc finger protein 521,0.994
35932,zinc finger protein 521,0.094
35933,unc-13 homolog D,0.355
35934,solute carrier family 26 member 11,0.418
35935,IKAROS family zinc finger 5,0.532
35936,ubiquitin conjugating enzyme E2 H,0.0176
35937,RAR related orphan receptor A,0.364
35938,sorting nexin 18,0.000539
35939,autophagy related 2B,0.674
35940,syntrophin beta 2,8.39e-05
35941,CDGSH iron sulfur domain 2,0.424
35942,pre-mRNA processing factor 40 homolog A,0.00556
35943,"T-cell activation inhibitor, mitochondrial",0.985
35944,CDGSH iron sulfur domain 2,0.0198
35945,ADCYAP receptor type I,0.602
35946,trinucleotide repeat containing 18,0.754
35947,microRNA 1282///huntingtin interacting protein K///small EDRK-rich factor 2,0.703
35948,succinate dehydrogenase complex flavoprotein subunit A pseudogene 2///long intergenic non-protein coding RNA 969///succinate dehydrogenase complex flavoprotein subunit A pseudogene 1,0.157
35949,PALM2-AKAP2 readthrough///A-kinase anchoring protein 2,2.95e-05
35950,paired related homeobox 1,0.269
35951,"RB binding protein 9, serine hydrolase",0.7
35952,family with sequence similarity 114 member A1,0.844
35953,FCH and double SH3 domains 1,0.123
35954,FCH and double SH3 domains 1,0.176
35955,U2 small nuclear RNA auxiliary factor 1 like 4,0.221
35956,gap junction protein alpha 5,0.00876
35957,cytidine/uridine monophosphate kinase 2,0.304
35958,neuralized E3 ubiquitin protein ligase 4,0.00227
35959,ubiquitin conjugating enzyme E2 J2,2.95e-05
35960,fibroblast growth factor receptor 1,0.405
35961,uncharacterized protein FLJ23867///quiescin sulfhydryl oxidase 1,0.323
35962,nicotinate phosphoribosyltransferase,0.519
35963,nicotinate phosphoribosyltransferase,0.291
35964,roundabout guidance receptor 2,0.119
35965,chromosome 8 open reading frame 82,0.366
35966,forkhead box N2,1.02e-05
35967,signal sequence receptor subunit 1,0.0204
35968,coiled-coil domain containing 50,0.752
35969,sterile alpha motif domain containing 4B,0.53
35970,forkhead box K1,0.44
35971,proline rich 12,0.435
35972,leucine rich transmembrane and O-methyltransferase domain containing,0.484
35973,adhesion molecule with Ig like domain 1,0.165
35974,derlin 2,0.00468
35975,PWWP domain containing 2A,4.34e-06
35976,dpy-19 like 4 (C. elegans),0.868
35977,family with sequence similarity 20 member C,0.0551
35978,small vasohibin binding protein,0.134
35979,paraspeckle component 1,0.243
35980,schlafen family member 5,0.932
35981,membrane bound O-acyltransferase domain containing 2,0.932
35982,CDGSH iron sulfur domain 3,2.35e-05
35983,solute carrier family 27 member 1,0.0568
35984,ubiquitin specific peptidase 37,2.83e-08
35985,ubiquitin specific peptidase 37,0.0813
35986,integrin subunit alpha 1,0.492
35987,RNA binding motif protein 33,0.363
35988,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2",0.224
35989,eukaryotic translation initiation factor 4E family member 2,6.61e-09
35990,transmembrane anterior posterior transformation 1,0.000198
35991,churchill domain containing 1,0.781
35992,solute carrier family 25 member 42,0.475
35993,WD repeat domain 81,0.0935
35994,ring finger protein 169,0.0185
35995,neuroblastoma breakpoint family member 26///neuroblastoma breakpoint family member 10///neuroblastoma breakpoint family member 14,0.059
35996,solute carrier family 12 member 6,0.328
35997,secretion associated Ras related GTPase 1B,5.8e-07
35998,schlafen family member 11,0.00385
35999,uncharacterized LOC284009///methyltransferase like 16,0.769
36000,cytochrome P450 family 4 subfamily V member 2,0.0189
36001,ubiquitination factor E4B,0.304
36002,thioredoxin domain containing 16,5.36e-06
36003,LysM domain containing 2,0.857
36004,mitochondrial ribosomal protein S9,0.642
36005,La ribonucleoprotein domain family member 1B,0.103
36006,cannabinoid receptor interacting protein 1,0.367
36007,family with sequence similarity 174 member A,0.506
36008,family with sequence similarity 76 member B,0.0159
36009,zinc finger protein 251,7.74e-06
36010,MIR205 host gene,0.528
36011,coiled-coil domain containing 71-like,0.255
36012,interferon induced protein with tetratricopeptide repeats 2,0.207
36013,"LUC7 like 2, pre-mRNA splicing factor",0.0019
36014,IKAROS family zinc finger 4,0.102
36015,"membrane bound transcription factor peptidase, site 2",0.715
36016,IKAROS family zinc finger 4,0.79
36017,microRNA 4657///purine rich element binding protein B,0.715
36018,SEC14 and spectrin domain containing 1,0.00387
36019,zinc finger protein 827,0.111
36020,"spectrin beta, non-erythrocytic 1",0.000226
36021,roundabout guidance receptor 2,0.522
36022,fumarylacetoacetate hydrolase domain containing 1,0.174
36023,GRB10 interacting GYF protein 1,0.0495
36024,fin bud initiation factor homolog (zebrafish),0.946
36025,"membrane associated guanylate kinase, WW and PDZ domain containing 3",0.285
36026,ATPase phospholipid transporting 8B2,0.0854
36027,SAP30 like,0.738
36028,"protein phosphatase, Mg2+/Mn2+ dependent 1K",0.0122
36029,family with sequence similarity 120B,0.0938
36030,"ENY2, transcription and export complex 2 subunit",0.2
36031,"ENY2, transcription and export complex 2 subunit",0.0953
36032,ADAM metallopeptidase domain 12,0.396
36033,testis development related protein,0.821
36034,LMBR1 domain containing 2,0.000504
36035,formation of mitochondrial complex V assembly factor 1 homolog,0.699
36036,"C7orf55-LUC7L2 readthrough///formation of mitochondrial complex V assembly factor 1 homolog///LUC7 like 2, pre-mRNA splicing factor",0.0813
36037,solute carrier family 25 member 30,1.26e-05
36038,5-phosphohydroxy-L-lysine phospho-lyase,0.0499
36039,TWIST neighbor,0.191
36040,ATPase phospholipid transporting 11C,0.00453
36041,regulatory factor X1,1.28e-05
36042,zinc finger protein 18,0.371
36043,centromere protein T,0.448
36044,embigin,0.0216
36045,MORN repeat containing 2,0.0124
36046,kinesin family member C2,0.0209
36047,kinesin family member C2,0.0326
36048,long intergenic non-protein coding RNA 294,0.131
36049,syntaxin binding protein 5,0.0219
36050,leucine rich repeats and calponin homology domain containing 1,0.00128
36051,abhydrolase domain containing 15,0.00123
36052,mbt domain containing 1,0.0697
36053,BCL2 like 13,0.516
36054,"FYVE, RhoGEF and PH domain containing 6",0.142
36055,EF-hand calcium binding domain 7,0.0629
36056,"axin interactor, dorsalization associated",0.0283
36057,"BMS1, ribosome biogenesis factor pseudogene 20",0.206
36058,charged multivesicular body protein 4C,0.106
36059,family with sequence similarity 20 member A,0.208
36060,fat storage inducing transmembrane protein 2,0.558
36061,nuclear factor I A,0.00371
36062,ZFP1 zinc finger protein,0.461
36063,zinc finger protein 862,0.164
36064,fatty acyl-CoA reductase 2 pseudogene 3///fatty acyl-CoA reductase 2 pseudogene 2,0.728
36065,opioid growth factor receptor like 1,0.00277
36066,family with sequence similarity 46 member C,0.00891
36067,,0.665
36068,"nucleoside-triphosphatase, cancer-related",0.168
36069,ADAM metallopeptidase with thrombospondin type 1 motif 9,0.517
36070,TAM41 mitochondrial translocator assembly and maintenance homolog,0.134
36071,KIAA1143,0.0742
36072,desmocollin 2,0.134
36073,macrophage expressed 1,0.0617
36074,"LSM11, U7 small nuclear RNA associated",0.00326
36075,zinc finger protein 362,0.747
36076,replication timing regulatory factor 1,0.00273
36077,storkhead box 2,0.107
36078,phosphatase and actin regulator 4,0.968
36079,"carboxypeptidase X, M14 family member 2",0.494
36080,transmembrane protein 165,0.00503
36081,"LSM11, U7 small nuclear RNA associated",0.000274
36082,transmembrane protein 165,0.0462
36083,hes related family bHLH transcription factor with YRPW motif-like,0.417
36084,actin filament associated protein 1 like 2,0.681
36085,long intergenic non-protein coding RNA 1578,6.08e-05
36086,solute carrier family 25 member 46,0.00432
36087,ring finger protein 168,0.102
36088,cytochrome b5 domain containing 1,0.236
36089,CXADR like membrane protein,0.182
36090,ZNFX1 antisense RNA 1,0.0153
36091,SFT2 domain containing 1,0.0214
36092,sprouty related EVH1 domain containing 1,0.00747
36093,tetratricopeptide repeat domain 32,3.58e-05
36094,nuclear receptor 2C2 associated protein,0.47
36095,H2A histone family member Y,0.018
36096,macrophage expressed 1,0.00205
36097,F-box and leucine rich repeat protein 20,0.487
36098,"poly(A) RNA polymerase D5, non-canonical",1e-05
36099,MOB kinase activator 3B,0.00664
36100,COP9 signalosome subunit 9,0.044
36101,phytanoyl-CoA dioxygenase domain containing 1,0.135
36102,follistatin,0.158
36103,,0.0363
36104,DENN domain containing 1A,0.598
36105,sulfatase modifying factor 1,0.0016
36106,lysophospholipase like 1,0.962
36107,metastasis associated 1 family member 3,0.234
36108,BMP2 inducible kinase,0.93
36109,mitochondrial ribosome associated GTPase 2,0.232
36110,pyruvate dehyrogenase phosphatase catalytic subunit 2,0.107
36111,"TMEM110-MUSTN1 readthrough///musculoskeletal, embryonic nuclear protein 1///transmembrane protein 110",0.315
36112,Rho guanine nucleotide exchange factor 19,0.286
36113,casein kinase 1 epsilon,0.753
36114,DNAJC25-GNG10 readthrough///DnaJ heat shock protein family (Hsp40) member C25,0.891
36115,transmembrane protein 19,0.133
36116,ankyrin repeat and SOCS box containing 8,0.311
36117,methyl-CpG binding domain protein 1,0.225
36118,family with sequence similarity 110 member C,0.506
36119,"protein kinase (cAMP-dependent, catalytic) inhibitor alpha",0.0489
36120,plexin domain containing 2,0.0153
36121,establishment of sister chromatid cohesion N-acetyltransferase 1,0.0234
36122,DENN domain containing 4C,0.0123
36123,glucoside xylosyltransferase 1,0.000501
36124,multiple EGF like domains 6,1.1e-05
36125,catechol-O-methyltransferase domain containing 1,0.0417
36126,autophagy related 4D cysteine peptidase,0.0431
36127,regulatory factor X2,0.474
36128,family with sequence similarity 63 member B,0.00239
36129,kelch like family member 8,0.0157
36130,dedicator of cytokinesis 11,0.0153
36131,family with sequence similarity 101 member B,0.0664
36132,ribosomal protein L32 pseudogene 3,0.495
36133,"major histocompatibility complex, class II, DO alpha",0.00147
36134,hydrogen voltage gated channel 1,0.000217
36135,nuclear casein kinase and cyclin dependent kinase substrate 1,0.0505
36136,"GrpE like 2, mitochondrial",0.258
36137,WD repeat domain 4,0.978
36138,kelch like family member 11,0.0135
36139,leucine rich repeat neuronal 1,0.356
36140,ring finger protein 217,1.24e-06
36141,glutamine--fructose-6-phosphate transaminase 1,0.0175
36142,heat shock protein family A (Hsp70) member 14,0.313
36143,casein kinase 1 gamma 1,5.59e-05
36144,WD repeat domain 35,0.462
36145,WD repeat domain 35,0.0261
36146,xyloside xylosyltransferase 1,0.000101
36147,chromosome 10 open reading frame 12,0.707
36148,"ABL proto-oncogene 2, non-receptor tyrosine kinase",0.0253
36149,solute carrier family 35 member A3,0.102
36150,nuclear factor I C,0.0107
36151,coiled-coil-helix-coiled-coil-helix domain containing 1,0.0164
36152,zinc finger CCCH-type containing 7A,0.0863
36153,splicing factor proline and glutamine rich,0.867
36154,unc-5 netrin receptor B,0.0491
36155,GABPB1 antisense RNA 1,0.153
36156,chromosome 17 open reading frame 58,0.0718
36157,ubiquitin specific peptidase 13 (isopeptidase T-3),0.538
36158,"solute carrier family 6 member 10, pseudogene///solute carrier family 6 member 8",0.119
36159,"solute carrier family 6 member 10, pseudogene///solute carrier family 6 member 8",0.614
36160,family with sequence similarity 101 member B,0.453
36161,Rho GTPase activating protein 9,0.025
36162,protein phosphatase 1 regulatory inhibitor subunit 14C,0.377
36163,leucine rich repeats and immunoglobulin like domains 3,0.0933
36164,zinc finger protein 518B,0.533
36165,COMM domain containing 2,0.00876
36166,"EGF like, fibronectin type III and laminin G domains",0.281
36167,zinc finger DHHC-type containing 23,0.0021
36168,SRY-box 8,0.232
36169,actin related protein 2/3 complex subunit 5 like,0.408
36170,actin related protein 2/3 complex subunit 5 like,0.0594
36171,dipeptidyl peptidase 9,0.313
36172,anaphase promoting complex subunit 4,0.0204
36173,junctophilin 4///adaptor related protein complex 1 gamma 2 subunit,0.565
36174,LYR motif containing 2,0.0329
36175,casein kinase 1 alpha 1,0.0359
36176,ubiquitin protein ligase E3 component n-recognin 1,0.125
36177,RAN binding protein 2,0.286
36178,sec1 family domain containing 2,0.0451
36179,long intergenic non-protein coding RNA 909,0.66
36180,2-phosphoxylose phosphatase 1,0.804
36181,dermokine,0.59
36182,chromosome 12 open reading frame 73,0.0101
36183,solute carrier family 25 member 37,6.33e-05
36184,methylenetetrahydrofolate reductase (NAD(P)H),0.069
36185,fibronectin type III domain containing 1,0.357
36186,transmembrane and tetratricopeptide repeat containing 1,0.823
36187,sarcospan,0.431
36188,"inhibitor of DNA binding 4, HLH protein",0.124
36189,cleavage and polyadenylation specific factor 6,0.00054
36190,CLPTM1 like,0.7
36191,centromere protein W,0.000621
36192,cardiolipin synthase 1,0.577
36193,DDB1 and CUL4 associated factor 4,0.00014
36194,cytoplasmic polyadenylation element binding protein 2,0.000317
36195,family with sequence similarity 69 member B,0.168
36196,activating transcription factor 6,0.714
36197,PHD finger protein 20-like 1,0.00351
36198,chromosome 12 open reading frame 73,0.16
36199,HtrA serine peptidase 3,0.189
36200,rhomboid domain containing 1,0.0244
36201,"NAD kinase 2, mitochondrial",0.000614
36202,"glucuronidase, beta pseudogene 1///glucuronidase, beta pseudogene 4",0.000309
36203,rhomboid domain containing 1,0.0694
36204,golgin A3,0.506
36205,activin A receptor like type 1,0.697
36206,chromosome 2 open reading frame 49,0.977
36207,ELL associated factor 1,0.00546
36208,cell adhesion molecule 3///atypical chemokine receptor 1 (Duffy blood group),0.137
36209,ubiquitin conjugating enzyme E2 R2,0.00772
36210,actin filament associated protein 1 like 1,0.389
36211,myotubularin related protein 3,0.213
36212,ralA binding protein 1,0.161
36213,mediator complex subunit 11,0.2
36214,,0.311
36215,C-X-C motif chemokine ligand 17,0.442
36216,proline rich 15,0.133
36217,zinc finger and BTB domain containing 41,3.99e-06
36218,basic transcription factor 3 like 4,2.35e-06
36219,tau tubulin kinase 2,0.265
36220,DENN domain containing 6A,0.00503
36221,pre-mRNA processing factor 40 homolog B,0.0852
36222,FLT3 interacting zinc finger 1,0.502
36223,kinesin family member 1B,0.000925
36224,5-methyltetrahydrofolate-homocysteine methyltransferase,0.949
36225,F-box protein 33,2.34e-10
36226,coiled-coil domain containing 136,0.131
36227,coiled-coil domain containing 136,0.919
36228,V-set and transmembrane domain containing 2 like,0.106
36229,"neural precursor cell expressed, developmentally down-regulated 4-like, E3 ubiquitin protein ligase",0.825
36230,"RNA binding region (RNP1, RRM) containing 3",0.000176
36231,karyopherin subunit alpha 6,0.0806
36232,IgA inducing protein,0.026
36233,peroxisome proliferator activated receptor alpha,0.000118
36234,mitogen-activated protein kinase kinase kinase 2,0.114
36235,DEP domain containing 1B,0.432
36236,lysine methyltransferase 2A,0.000681
36237,elongation factor for RNA polymerase II 2,0.978
36238,zinc finger protein 777,0.127
36239,"FYVE, RhoGEF and PH domain containing 5",0.13
36240,"FYVE, RhoGEF and PH domain containing 5",0.0309
36241,"WD repeat domain, phosphoinositide interacting 2",0.192
36242,RNA binding motif protein 15B,0.00404
36243,"myosin, heavy chain 14, non-muscle",0.0243
36244,repulsive guidance molecule family member b,0.392
36245,cell cycle associated protein 1,0.0169
36246,nuclear factor of activated T-cells 2,0.494
36247,nitric oxide synthase trafficking,0.243
36248,thyroid hormone receptor interactor 12,0.00881
36249,DnaJ heat shock protein family (Hsp40) member A2,0.118
36250,uncharacterized LOC642852,0.483
36251,lysocardiolipin acyltransferase 1,0.674
36252,ADAM metallopeptidase with thrombospondin type 1 motif 12,0.0478
36253,"N(alpha)-acetyltransferase 15, NatA auxiliary subunit",0.0122
36254,"RNA binding region (RNP1, RRM) containing 3",0.035
36255,"maturin, neural progenitor differentiation regulator homolog (Xenopus)",0.0492
36256,NIPA like domain containing 2,0.00757
36257,uncharacterized LOC101927137///family with sequence similarity 78 member A,0.705
36258,"RAB28, member RAS oncogene family",0.679
36259,cyclin dependent kinase like 5,0.0708
36260,ribonuclease P/MRP subunit p14,0.0252
36261,protein phosphatase 1 regulatory inhibitor subunit 14A,0.536
36262,transmembrane and coiled-coil domains 4,0.548
36263,HD domain containing 3,0.878
36264,uncharacterized LOC100507431,0.121
36265,,0.0965
36266,zinc finger protein 672,0.475
36267,solute carrier family 25 member 40,0.000102
36268,large tumor suppressor kinase 2,0.000787
36269,aspartate beta-hydroxylase domain containing 2,0.011
36270,aspartate beta-hydroxylase domain containing 2,0.126
36271,glutamate rich 1,6.46e-05
36272,glutamate rich 1,0.714
36273,dipeptidyl peptidase 8,5.7e-05
36274,chromosome 1 open reading frame 226,0.373
36275,yippee like 2,0.00482
36276,lysine demethylase 1B,0.591
36277,glucosamine-6-phosphate deaminase 2,0.00832
36278,ZFP41 zinc finger protein///GLI family zinc finger 4,0.896
36279,mitochondrial ribosomal protein L55,0.965
36280,periphilin 1,0.000883
36281,M-phase phosphoprotein 8,0.571
36282,glutamine--fructose-6-phosphate transaminase 1,0.01
36283,DiGeorge syndrome critical region gene 2,0.167
36284,uncharacterized LOC101927178///family with sequence similarity 177 member A1,0.212
36285,IKAROS family zinc finger 3,0.515
36286,sorting nexin 13,0.00669
36287,plexin A2,0.0515
36288,protein disulfide isomerase family A member 3,0.234
36289,sosondowah ankyrin repeat domain family member C,0.000422
36290,retinitis pigmentosa 9 pseudogene,0.000152
36291,RAS protein activator like 2,0.145
36292,phospholipase D family member 6///folliculin,0.699
36293,sphingomyelin synthase 2,0.0122
36294,A-kinase anchoring protein 13,0.00715
36295,NHL repeat containing 3,2.38e-05
36296,SEC14 and spectrin domain containing 1,0.0743
36297,YdjC homolog (bacterial),0.693
36298,coiled-coil domain containing 159,0.471
36299,,0.716
36300,zinc finger protein 614,3.18e-05
36301,solute carrier family 39 member 11,0.00116
36302,zinc finger and BTB domain containing 4,0.000413
36303,laminin subunit alpha 1,0.538
36304,zinc binding alcohol dehydrogenase domain containing 2,0.206
36305,teneurin transmembrane protein 3,0.715
36306,beta-site APP-cleaving enzyme 2,0.803
36307,small integral membrane protein 14,0.0311
36308,protein kinase C and casein kinase substrate in neurons 1,0.0963
36309,eukaryotic translation elongation factor 1 alpha lysine methyltransferase 1,0.909
36310,methyltransferase like 7B,0.334
36311,KIAA0141,0.29
36312,Rho GTPase activating protein 27,0.00686
36313,mesenteric estrogen dependent adipogenesis,0.943
36314,glypican 6,0.84
36315,RELT tumor necrosis factor receptor,0.394
36316,long intergenic non-protein coding RNA 1279,0.243
36317,microRNA 612///nuclear paraspeckle assembly transcript 1 (non-protein coding),4.72e-11
36318,transmembrane protein 256,8e-06
36319,ankyrin repeat domain 40,0.00011
36320,ring finger protein 216,0.475
36321,MOB kinase activator 3C,0.687
36322,notch homolog 2 N-terminal-like protein///notch homolog 2 N-terminal-like protein///notch homolog 2 N-terminal-like protein///notch 2 N-terminal like///notch 2,0.0848
36323,phosphoglycerate kinase 1,0.0144
36324,cut like homeobox 1,0.465
36325,glycosyltransferase 8 domain containing 2,0.904
36326,zinc finger protein 414,0.893
36327,rotatin,0.0155
36328,mitogen-activated protein kinase kinase kinase 2,0.0387
36329,CCDC18 antisense RNA 1,0.00214
36330,elongator acetyltransferase complex subunit 3,0.719
36331,non-SMC condensin II complex subunit H2,0.941
36332,zinc finger protein 286B///zinc finger protein 286A,0.365
36333,transmembrane protein 110,0.083
36334,DEAH-box helicase 8,0.0778
36335,zinc finger protein 697,0.00359
36336,dynein axonemal light intermediate chain 1,0.266
36337,zinc finger and BTB domain containing 20,0.000553
36338,beta 3-glucosyltransferase,0.219
36339,dystrobrevin alpha,0.197
36340,H2A histone family member V,0.0329
36341,chromosome 22 open reading frame 39,0.789
36342,inositol polyphosphate-4-phosphatase type I A,0.0885
36343,phosphodiesterase 5A,0.619
36344,component of oligomeric golgi complex 5,0.547
36345,PHD finger protein 21A,0.0224
36346,coiled-coil domain containing 146,0.858
36347,uncharacterized LOC101927752,0.891
36348,ubiquitin specific peptidase 36,0.482
36349,dehydrogenase E1 and transketolase domain containing 1,0.985
36350,leptin receptor overlapping transcript,0.00096
36351,Josephin domain containing 2,0.00203
36352,zinc finger protein 800,0.015
36353,dual specificity phosphatase 18,0.226
36354,chromosome 11 open reading frame 96,0.561
36355,beta 3-glucosyltransferase,0.231
36356,zinc finger protein 800,0.0292
36357,tripartite motif containing 35,0.0421
36358,endothelin converting enzyme 2,0.0454
36359,zinc finger protein 800,0.565
36360,centrosome and spindle pole associated protein 1,0.519
36361,transmembrane protein 198B (pseudogene),0.157
36362,pannexin 1,0.534
36363,StAR related lipid transfer domain containing 9,0.429
36364,cytochrome P450 family 2 subfamily R member 1,0.0214
36365,heterogeneous nuclear ribonucleoprotein C (C1/C2),2.21e-05
36366,zinc finger and BTB domain containing 34,0.0432
36367,transmembrane and coiled-coil domain family 1,2.66e-06
36368,"alcohol dehydrogenase, iron containing 1",0.189
36369,ring finger protein 214,0.432
36370,uncharacterized LOC100506870///uncharacterized LOC283140,0.301
36371,"MON1 homolog B, secretory trafficking associated",6.52e-08
36372,exportin for tRNA,0.0318
36373,mitochondrial ribosomal protein S26,0.968
36374,CCR4-NOT transcription complex subunit 6 like,0.925
36375,forkhead box P4,0.651
36376,zinc finger and BTB domain containing 20,0.393
36377,zinc finger protein 791,1.14e-05
36378,"RAB3B, member RAS oncogene family",0.385
36379,small integral membrane protein 13,8.44e-05
36380,interferon alpha and beta receptor subunit 2,0.00108
36381,"protein tyrosine phosphatase, receptor type G",0.989
36382,TMEM110-MUSTN1 readthrough///transmembrane protein 110,0.00577
36383,tumor-associated calcium signal transducer 2,0.516
36384,long intergenic non-protein coding RNA 1000,0.988
36385,transducin like enhancer of split 1,0.29
36386,mitogen-activated protein kinase kinase kinase 3,6.86e-07
36387,zinc finger protein 706,0.732
36388,"family with sequence similarity 199, X-linked",0.000625
36389,synaptotagmin like 1,0.00014
36390,N-acylethanolamine acid amidase,0.129
36391,CDK2 associated cullin domain 1,0.248
36392,CDK2 associated cullin domain 1,0.0804
36393,cartilage associated protein,0.61
36394,"HPS3, biogenesis of lysosomal organelles complex 2 subunit 1",0.0126
36395,inhibin beta A subunit,0.0732
36396,tRNA-yW synthesizing protein 3 homolog,0.109
36397,pleckstrin homology and RhoGEF domain containing G5,0.459
36398,BH3 interacting domain death agonist,0.357
36399,KIAA0930,0.184
36400,lysyl oxidase like 4,0.647
36401,quiescin sulfhydryl oxidase 2,1.01e-09
36402,egl-9 family hypoxia inducible factor 2,0.852
36403,"pleckstrin homology, MyTH4 and FERM domain containing H2",0.286
36404,trinucleotide repeat containing 6C,1.19e-05
36405,metal regulatory transcription factor 1,0.0457
36406,sorting nexin 33,0.00143
36407,KIAA1551,0.000467
36408,inner mitochondrial membrane peptidase subunit 2,0.296
36409,immunoglobin superfamily member 21,0.679
36410,LIM domain only 4,0.711
36411,calcium/calmodulin dependent serine protein kinase,0.0897
36412,primase and DNA directed polymerase,0.0147
36413,D-tyrosyl-tRNA deacylase 2 (putative),0.639
36414,GH3 domain containing,0.427
36415,NADH:ubiquinone oxidoreductase complex assembly factor 5,0.1
36416,nucleolar protein with MIF4G domain 1,0.87
36417,zinc finger and BTB domain containing 26,0.000849
36418,glutathione S-transferase omega 2,0.476
36419,serine and arginine rich splicing factor 1,0.0676
36420,spindle and kinetochore associated complex subunit 3,0.0681
36421,DnaJ heat shock protein family (Hsp40) member C18,0.168
36422,Ras association domain family member 3,0.808
